Time,Temperature,Humidity,Air Quality,Light,Loudness
2021-06-15 18:21:46,37.94,28.94,75,644,106
2021-06-15 18:21:56,37.94,29,75,645,145
2021-06-15 18:22:06,37.88,28.88,75,644,146
2021-06-15 18:22:16,37.72,28.94,75,646,139
2021-06-15 18:22:26,37.69,29.19,75,644,155
2021-06-15 18:22:36,37.78,29.06,75,644,163
2021-06-15 18:22:46,37.91,29,75,644,153
2021-06-15 18:22:56,38.06,28.88,75,643,149
2021-06-15 18:23:06,38.12,28.69,75,643,150
2021-06-15 18:23:16,38.16,28.62,75,643,153
2021-06-15 18:23:26,38.06,28.69,75,643,143
2021-06-15 18:23:36,37.94,28.75,75,644,142
2021-06-15 18:23:46,37.88,28.88,75,643,138
2021-06-15 18:23:56,37.94,29,75,644,146
2021-06-15 18:24:06,38.03,28.94,75,643,152
2021-06-15 18:24:16,38.03,28.88,75,645,149
2021-06-15 18:24:26,37.94,28.81,75,643,116
2021-06-15 18:24:36,37.94,28.81,75,643,132
2021-06-15 18:24:46,37.94,28.88,75,643,176
2021-06-15 18:24:56,37.97,28.81,75,644,164
2021-06-15 18:25:06,37.94,28.69,75,646,148
2021-06-15 18:25:16,37.88,28.69,75,646,160
2021-06-15 18:25:26,37.88,28.69,75,644,142
2021-06-15 18:25:36,37.84,28.62,75,643,154
2021-06-15 18:25:46,37.81,28.81,75,643,161
2021-06-15 18:25:56,37.88,28.88,75,643,161
2021-06-15 18:26:06,37.97,28.81,75,643,128
2021-06-15 18:26:16,38.03,28.69,75,646,166
2021-06-15 18:26:26,38.06,28.56,75,643,132
2021-06-15 18:26:36,37.97,28.56,75,644,124
2021-06-15 18:26:46,37.97,28.62,75,643,132
2021-06-15 18:26:56,37.88,28.62,75,644,124
2021-06-15 18:27:06,37.88,28.69,75,644,155
2021-06-15 18:27:16,38.06,28.69,75,644,135
2021-06-15 18:27:26,38.09,28.62,75,645,127
2021-06-15 18:27:36,38.03,28.56,75,644,138
2021-06-15 18:27:46,38,28.62,75,645,164
2021-06-15 18:27:56,38.09,28.62,75,644,159
2021-06-15 18:28:06,38.09,28.5,75,643,163
2021-06-15 18:28:16,38.12,28.44,75,644,161
2021-06-15 18:28:26,38.16,28.44,75,645,150
2021-06-15 18:28:36,38.09,28.38,75,643,146
2021-06-15 18:28:46,38.09,28.44,75,643,129
2021-06-15 18:28:56,38,28.38,75,643,140
2021-06-15 18:29:06,37.81,28.44,75,644,152
2021-06-15 18:29:16,37.91,28.75,75,643,131
2021-06-15 18:29:26,37.94,28.81,75,645,141
2021-06-15 18:29:36,37.91,28.81,75,643,129
2021-06-15 18:29:46,37.84,28.88,75,643,148
2021-06-15 18:29:56,37.91,28.94,75,644,128
2021-06-15 18:30:06,37.97,28.88,75,646,148
2021-06-15 18:30:16,38.09,28.81,75,645,179
2021-06-15 18:30:26,38.12,28.62,75,646,139
2021-06-15 18:30:36,38.12,28.69,75,645,157
2021-06-15 18:30:46,38.03,28.69,75,643,160
2021-06-15 18:30:56,38.09,28.62,75,643,161
2021-06-15 18:31:06,38,28.69,75,644,146
2021-06-15 18:31:16,38,28.69,75,644,160
2021-06-15 18:31:26,37.94,28.5,75,644,130
2021-06-15 18:31:36,37.84,28.56,75,644,144
2021-06-15 18:31:46,37.69,28.75,75,644,153
2021-06-15 18:31:56,37.62,28.94,75,645,141
2021-06-15 18:32:06,37.56,29.12,75,644,166
2021-06-15 18:32:16,37.66,29.25,75,643,184
2021-06-15 18:32:26,37.78,29.12,75,644,135
2021-06-15 18:32:36,37.72,29.12,75,643,152
2021-06-15 18:32:46,37.69,29.19,75,646,151
2021-06-15 18:32:56,37.75,29.25,75,644,141
2021-06-15 18:33:06,37.78,29.06,75,644,173
2021-06-15 18:33:16,37.81,29.12,75,645,130
2021-06-15 18:33:26,37.84,29,75,644,145
2021-06-15 18:33:36,37.72,29,75,646,134
2021-06-15 18:33:46,37.75,29.12,75,643,149
2021-06-15 18:33:56,37.91,29.12,75,643,132
2021-06-15 18:34:06,37.94,28.94,75,643,154
2021-06-15 18:34:16,37.94,28.94,75,643,147
2021-06-15 18:34:26,37.88,28.81,75,643,153
2021-06-15 18:34:36,37.84,28.88,75,643,162
2021-06-15 18:34:46,37.81,28.81,75,644,127
2021-06-15 18:34:56,37.78,28.88,75,643,164
2021-06-15 18:35:06,37.72,28.94,75,643,148
2021-06-15 18:35:16,37.75,29.06,75,645,155
2021-06-15 18:35:26,37.66,29,75,643,146
2021-06-15 18:35:36,37.5,28.94,75,643,144
2021-06-15 18:35:46,37.47,29.06,75,644,147
2021-06-15 18:35:56,37.44,29.06,75,644,148
2021-06-15 18:36:06,37.38,29.19,75,645,150
2021-06-15 18:36:16,37.5,29.19,75,643,149
2021-06-15 18:36:26,37.56,29.19,75,643,152
2021-06-15 18:36:36,37.53,29.19,75,644,147
2021-06-15 18:36:46,37.53,29.19,75,643,127
2021-06-15 18:36:56,37.62,29.12,75,643,147
2021-06-15 18:37:06,37.81,29.06,75,644,131
2021-06-15 18:37:16,37.88,29,75,643,164
2021-06-15 18:37:26,37.84,29,75,642,160
2021-06-15 18:37:36,37.78,29.06,75,643,132
2021-06-15 18:37:46,37.75,29.12,75,643,142
2021-06-15 18:37:56,37.72,29,75,643,142
2021-06-15 18:38:06,37.72,29,75,642,152
2021-06-15 18:38:16,37.69,29.12,75,642,140
2021-06-15 18:38:26,37.66,29.19,75,643,149
2021-06-15 18:38:36,37.47,29.31,75,643,150
2021-06-15 18:38:46,37.41,29.44,75,643,171
2021-06-15 18:38:56,37.34,29.56,75,645,153
2021-06-15 18:39:06,37.34,29.69,75,643,145
2021-06-15 18:39:16,37.31,29.75,75,642,150
2021-06-15 18:39:26,37.34,29.75,75,642,146
2021-06-15 18:39:36,37.31,29.69,75,642,165
2021-06-15 18:39:46,37.25,29.81,75,643,140
2021-06-15 18:39:56,37.22,29.69,75,640,150
2021-06-15 18:40:06,37.09,29.69,75,640,142
2021-06-15 18:40:16,37.16,29.75,75,639,142
2021-06-15 18:40:26,37.12,29.81,75,640,158
2021-06-15 18:40:36,37.09,29.81,75,640,130
2021-06-15 18:40:46,37.12,30,75,639,158
2021-06-15 18:40:56,37.25,29.88,75,639,180
2021-06-15 18:41:06,37.09,29.75,75,639,123
2021-06-15 18:41:16,37.09,29.75,75,639,126
2021-06-15 18:41:26,37.16,29.75,75,639,140
2021-06-15 18:41:36,37.12,29.75,75,639,114
2021-06-15 18:41:46,37.22,29.69,75,639,157
2021-06-15 18:41:56,37.12,29.75,75,638,147
2021-06-15 18:42:06,37.09,29.81,75,638,159
2021-06-15 18:42:16,37.09,29.81,75,638,128
2021-06-15 18:42:26,37.09,29.75,75,638,148
2021-06-15 18:42:36,37.06,29.69,75,637,152
2021-06-15 18:42:46,37.03,29.88,75,638,163
2021-06-15 18:42:56,37.06,29.81,75,637,168
2021-06-15 18:43:06,37.03,29.94,75,638,162
2021-06-15 18:43:16,37.06,30,75,636,171
2021-06-15 18:43:26,37,30,75,636,127
2021-06-15 18:43:36,36.84,30.12,75,636,159
2021-06-15 18:43:46,36.75,30.25,75,636,137
2021-06-15 18:43:56,36.72,30.31,75,638,151
2021-06-15 18:44:06,36.56,30.44,75,635,150
2021-06-15 18:44:16,36.41,30.56,75,636,148
2021-06-15 18:44:26,36.16,30.69,75,637,137
2021-06-15 18:44:36,35.97,30.94,75,635,151
2021-06-15 18:44:46,35.88,31.19,75,637,146
2021-06-15 18:44:56,35.91,31.38,75,635,135
2021-06-15 18:45:06,35.94,31.31,75,635,144
2021-06-15 18:45:16,35.91,31.38,75,636,165
2021-06-15 18:45:26,35.91,31.25,75,635,162
2021-06-15 18:45:36,36,31.31,75,635,120
2021-06-15 18:45:46,36,31.31,75,635,129
2021-06-15 18:45:56,36.06,31.31,75,635,172
2021-06-15 18:46:06,36.06,31.25,75,635,128
2021-06-15 18:46:16,36.09,31.25,75,634,168
2021-06-15 18:46:26,36,31.25,75,635,148
2021-06-15 18:46:36,35.97,31.25,75,635,120
2021-06-15 18:46:46,36,31.31,75,635,144
2021-06-15 18:46:56,35.88,31.25,75,635,163
2021-06-15 18:47:06,35.69,31.38,75,634,135
2021-06-15 18:47:16,35.56,31.5,75,634,162
2021-06-15 18:47:26,35.5,31.81,75,635,160
2021-06-15 18:47:36,35.38,32.12,75,636,154
2021-06-15 18:47:46,35.28,32.38,75,635,144
2021-06-15 18:47:56,35.22,32.62,75,634,144
2021-06-15 18:48:06,35.03,32.81,75,636,127
2021-06-15 18:48:16,34.84,33.06,75,635,153
2021-06-15 18:48:26,34.59,33.31,75,635,131
2021-06-15 18:48:36,34.41,33.69,75,635,135
2021-06-15 18:48:46,34.22,34,75,634,144
2021-06-15 18:48:56,34.06,34.31,75,635,156
2021-06-15 18:49:06,33.81,34.62,75,637,161
2021-06-15 18:49:16,33.59,35,75,636,128
2021-06-15 18:49:26,33.44,35.31,75,635,162
